"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BITS";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"CODE__IPC";"CODE__JEDEC";"CODE__JEITA";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMP_TYPE";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"F__NOM_VOLTAGEMAXMHZ";"HIGH__RELIABILITY";"ICC__NOM_VOLTAGEMAXMA";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_TYPE";"IPC_LAND_PATTERN_NAME";"JUNCTION_CAPACITANCE";"LEAD_FREE";"MANUFACTURER_PRODUCT_PAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_REV";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMPERATURE_RANGEC";"OUTPUT_TYPE";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_TOP_MARKING";"PACKAGE_VERSION";"PACKING";"PIN_0_0_0_OUTSIDE_EDGE";"PIN_0_1_0_OUTSIDE_EDGE";"PIN_0_2_0_OUTSIDE_EDGE";"PIN_0_3_2_OUTSIDE_EDGE";"PIN_COUNT";"POPULARITY";"POWER_WISE";"PREFIX";"PRICE";"P_MAX_W";"RATING";"RELEASE_DATE";"REVERSE_STAND-OFF_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TPD__NOM_VOLTAGEMAXNS";"TP_SIGNAL_NAME";"VAULT_GUID";"VAULT_REVISION";"VCC_MAX_V";"VCC_MIN_V";"VOLTAGE_NOM_V";"VZ_TYP_V";
"NET";"YELLOW";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PMS";"ORANGE";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"POWER";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R4";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R5";"4.7K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R6";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R7";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R14";"1K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
